name,rows,selection_score,token_waste_ratio,exact_match,avg_selected,avg_ideal,micro_precision,micro_recall,micro_f1,avg_extra_skills,avg_missing_skills
t06_k6,10,0.8089999999999999,0.06670000000000001,0.4,5.7,7.8,0.9298245614035088,0.6794871794871795,0.7851851851851852,0.4,2.5
t05_k8,10,0.7907000000000001,0.2,0.1,7.8,7.8,0.8076923076923077,0.8076923076923077,0.8076923076923077,1.5,1.5
t04_k8,10,0.7785000000000001,0.2125,0.1,8.0,7.8,0.7875,0.8076923076923077,0.7974683544303798,1.7,1.5
t04_k10,10,0.7645000000000001,0.28500000000000003,0.0,9.8,7.8,0.7142857142857143,0.8974358974358975,0.7954545454545455,2.8,0.8
