name,rows,selection_score,token_waste_ratio,exact_match,avg_selected,avg_ideal,micro_precision,micro_recall,micro_f1,avg_extra_skills,avg_missing_skills
Legacy,10,0.27990000000000004,0.7617,0.0,15.9,7.8,0.24528301886792453,0.5,0.32911392405063294,12.0,3.9
ML,10,0.7907000000000001,0.2,0.1,7.8,7.8,0.8076923076923077,0.8076923076923077,0.8076923076923077,1.5,1.5
